no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x151b1e49b010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -2.8964, 'learning_rate': 8.547803617571059e-05, 'epoch': 115.35}
{'loss': -2.9047, 'learning_rate': 8.527131782945736e-05, 'epoch': 116.28}
{'loss': -2.9085, 'learning_rate': 8.506459948320415e-05, 'epoch': 117.21}
{'loss': -2.9142, 'learning_rate': 8.485788113695091e-05, 'epoch': 118.14}
{'loss': -2.9213, 'learning_rate': 8.465116279069768e-05, 'epoch': 119.07}
{'loss': -2.9204, 'learning_rate': 8.444444444444444e-05, 'epoch': 120.0}
{'loss': -2.9113, 'learning_rate': 8.423772609819122e-05, 'epoch': 120.93}
{'loss': -2.9353, 'learning_rate': 8.403100775193799e-05, 'epoch': 121.86}
{'loss': -2.9387, 'learning_rate': 8.382428940568476e-05, 'epoch': 122.79}
{'loss': -2.9441, 'learning_rate': 8.361757105943154e-05, 'epoch': 123.72}
{'loss': -2.9495, 'learning_rate': 8.34108527131783e-05, 'epoch': 124.65}
{'loss': -2.9554, 'learning_rate': 8.320413436692507e-05, 'epoch': 125.58}
{'loss': -2.9574, 'learning_rate': 8.299741602067184e-05, 'epoch': 126.51}
{'loss': -2.9625, 'learning_rate': 8.27906976744186e-05, 'epoch': 127.44}
{'loss': -2.9647, 'learning_rate': 8.258397932816539e-05, 'epoch': 128.37}
{'loss': -2.9704, 'learning_rate': 8.237726098191215e-05, 'epoch': 129.3}
{'loss': -2.971, 'learning_rate': 8.217054263565892e-05, 'epoch': 130.23}
{'loss': -2.975, 'learning_rate': 8.19638242894057e-05, 'epoch': 131.16}
{'loss': -2.9847, 'learning_rate': 8.175710594315245e-05, 'epoch': 132.09}
{'loss': -2.9851, 'learning_rate': 8.155038759689923e-05, 'epoch': 133.02}
{'loss': -2.9939, 'learning_rate': 8.1343669250646e-05, 'epoch': 133.95}
{'loss': -3.0011, 'learning_rate': 8.113695090439277e-05, 'epoch': 134.88}
{'loss': -3.0051, 'learning_rate': 8.093023255813953e-05, 'epoch': 135.81}
{'loss': -3.0043, 'learning_rate': 8.072351421188631e-05, 'epoch': 136.74}
