no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 1, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x1503439d3010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_030200_obj_1
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -2.781, 'learning_rate': 9.037037037037038e-05, 'epoch': 93.33}
{'loss': -2.7602, 'learning_rate': 9.015873015873016e-05, 'epoch': 94.29}
{'loss': -2.7949, 'learning_rate': 8.994708994708995e-05, 'epoch': 95.24}
{'loss': -2.8019, 'learning_rate': 8.973544973544973e-05, 'epoch': 96.19}
{'loss': -2.8079, 'learning_rate': 8.952380952380953e-05, 'epoch': 97.14}
{'loss': -2.8158, 'learning_rate': 8.931216931216931e-05, 'epoch': 98.1}
{'loss': -2.8258, 'learning_rate': 8.910052910052911e-05, 'epoch': 99.05}
{'loss': -2.8249, 'learning_rate': 8.888888888888889e-05, 'epoch': 100.0}
{'loss': -2.8374, 'learning_rate': 8.867724867724868e-05, 'epoch': 100.95}
{'loss': -2.8402, 'learning_rate': 8.846560846560848e-05, 'epoch': 101.9}
{'loss': -2.8521, 'learning_rate': 8.825396825396825e-05, 'epoch': 102.86}
{'loss': -2.8564, 'learning_rate': 8.804232804232805e-05, 'epoch': 103.81}
{'loss': -2.8567, 'learning_rate': 8.783068783068782e-05, 'epoch': 104.76}
{'loss': -2.8463, 'learning_rate': 8.761904761904762e-05, 'epoch': 105.71}
{'loss': -2.874, 'learning_rate': 8.740740740740741e-05, 'epoch': 106.67}
{'loss': -2.8792, 'learning_rate': 8.71957671957672e-05, 'epoch': 107.62}
{'loss': -2.881, 'learning_rate': 8.6984126984127e-05, 'epoch': 108.57}
{'loss': -2.8915, 'learning_rate': 8.677248677248677e-05, 'epoch': 109.52}
{'loss': -2.8927, 'learning_rate': 8.656084656084657e-05, 'epoch': 110.48}
{'loss': -2.9021, 'learning_rate': 8.634920634920635e-05, 'epoch': 111.43}
{'loss': -2.9096, 'learning_rate': 8.613756613756614e-05, 'epoch': 112.38}
{'loss': -2.9112, 'learning_rate': 8.592592592592593e-05, 'epoch': 113.33}
{'loss': -2.9233, 'learning_rate': 8.571428571428571e-05, 'epoch': 114.29}
{'loss': -2.9229, 'learning_rate': 8.550264550264551e-05, 'epoch': 115.24}
{'loss': -2.9309, 'learning_rate': 8.52910052910053e-05, 'epoch': 116.19}
{'loss': -2.9362, 'learning_rate': 8.507936507936508e-05, 'epoch': 117.14}
{'loss': -2.942, 'learning_rate': 8.486772486772487e-05, 'epoch': 118.1}
{'loss': -2.9389, 'learning_rate': 8.465608465608466e-05, 'epoch': 119.05}
{'loss': -2.9477, 'learning_rate': 8.444444444444444e-05, 'epoch': 120.0}
{'loss': -2.9563, 'learning_rate': 8.423280423280424e-05, 'epoch': 120.95}
{'loss': -2.9611, 'learning_rate': 8.402116402116403e-05, 'epoch': 121.9}
{'loss': -2.9665, 'learning_rate': 8.380952380952382e-05, 'epoch': 122.86}
{'loss': -2.9688, 'learning_rate': 8.35978835978836e-05, 'epoch': 123.81}
{'loss': -2.9687, 'learning_rate': 8.338624338624339e-05, 'epoch': 124.76}
{'loss': -2.9788, 'learning_rate': 8.317460317460319e-05, 'epoch': 125.71}
{'loss': -2.9807, 'learning_rate': 8.296296296296296e-05, 'epoch': 126.67}
{'loss': -2.9753, 'learning_rate': 8.275132275132276e-05, 'epoch': 127.62}
{'loss': -2.9793, 'learning_rate': 8.253968253968255e-05, 'epoch': 128.57}
{'loss': -2.9833, 'learning_rate': 8.232804232804233e-05, 'epoch': 129.52}
{'loss': -2.9858, 'learning_rate': 8.211640211640212e-05, 'epoch': 130.48}
{'loss': -2.9879, 'learning_rate': 8.19047619047619e-05, 'epoch': 131.43}
{'loss': -2.9947, 'learning_rate': 8.16931216931217e-05, 'epoch': 132.38}
{'loss': -3.006, 'learning_rate': 8.148148148148148e-05, 'epoch': 133.33}
{'loss': -3.0127, 'learning_rate': 8.126984126984128e-05, 'epoch': 134.29}
{'loss': -3.0184, 'learning_rate': 8.105820105820106e-05, 'epoch': 135.24}
{'loss': -3.0179, 'learning_rate': 8.084656084656085e-05, 'epoch': 136.19}
{'loss': -3.026, 'learning_rate': 8.063492063492063e-05, 'epoch': 137.14}
{'loss': -3.0319, 'learning_rate': 8.042328042328042e-05, 'epoch': 138.1}
{'loss': -3.0305, 'learning_rate': 8.021164021164022e-05, 'epoch': 139.05}
{'loss': -3.0351, 'learning_rate': 8e-05, 'epoch': 140.0}
{'loss': -3.0351, 'learning_rate': 7.978835978835979e-05, 'epoch': 140.95}
{'loss': -3.0475, 'learning_rate': 7.957671957671958e-05, 'epoch': 141.9}
{'loss': -3.0518, 'learning_rate': 7.936507936507937e-05, 'epoch': 142.86}
{'loss': -3.0576, 'learning_rate': 7.915343915343915e-05, 'epoch': 143.81}
