no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '_noise', 'gen_func': <function gen_data_sample_across_rx at 0x153447997010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -2.4045, 'learning_rate': 4.0373831775700936e-05, 'epoch': 20.19}
{'loss': -2.4121, 'learning_rate': 4.074766355140187e-05, 'epoch': 20.37}
{'loss': -2.4218, 'learning_rate': 4.11214953271028e-05, 'epoch': 20.56}
{'loss': -2.4329, 'learning_rate': 4.149532710280374e-05, 'epoch': 20.75}
{'loss': -2.4373, 'learning_rate': 4.186915887850468e-05, 'epoch': 20.93}
{'loss': -2.4439, 'learning_rate': 4.2242990654205613e-05, 'epoch': 21.12}
{'loss': -2.4516, 'learning_rate': 4.2616822429906546e-05, 'epoch': 21.31}
{'loss': -2.4589, 'learning_rate': 4.299065420560748e-05, 'epoch': 21.5}
{'loss': -2.4663, 'learning_rate': 4.336448598130841e-05, 'epoch': 21.68}
{'loss': -2.4755, 'learning_rate': 4.373831775700935e-05, 'epoch': 21.87}
{'loss': -2.4822, 'learning_rate': 4.4112149532710284e-05, 'epoch': 22.06}
{'loss': -2.4905, 'learning_rate': 4.448598130841122e-05, 'epoch': 22.24}
{'loss': -2.4964, 'learning_rate': 4.485981308411215e-05, 'epoch': 22.43}
{'loss': -2.5071, 'learning_rate': 4.523364485981308e-05, 'epoch': 22.62}
{'loss': -2.5119, 'learning_rate': 4.5607476635514015e-05, 'epoch': 22.8}
{'loss': -2.5238, 'learning_rate': 4.5981308411214955e-05, 'epoch': 22.99}
{'loss': -2.5274, 'learning_rate': 4.635514018691589e-05, 'epoch': 23.18}
{'loss': -2.5342, 'learning_rate': 4.672897196261683e-05, 'epoch': 23.36}
{'loss': -2.5422, 'learning_rate': 4.710280373831776e-05, 'epoch': 23.55}
{'loss': -2.5483, 'learning_rate': 4.747663551401869e-05, 'epoch': 23.74}
{'loss': -2.5544, 'learning_rate': 4.785046728971963e-05, 'epoch': 23.93}
{'loss': -2.5595, 'learning_rate': 4.8224299065420565e-05, 'epoch': 24.11}
{'loss': -2.5654, 'learning_rate': 4.85981308411215e-05, 'epoch': 24.3}
{'loss': -2.5737, 'learning_rate': 4.897196261682243e-05, 'epoch': 24.49}
{'loss': -2.5789, 'learning_rate': 4.934579439252336e-05, 'epoch': 24.67}
{'loss': -2.5877, 'learning_rate': 4.97196261682243e-05, 'epoch': 24.86}
{'loss': -2.5905, 'learning_rate': 5.0093457943925236e-05, 'epoch': 25.05}
{'loss': -2.5982, 'learning_rate': 5.046728971962617e-05, 'epoch': 25.23}
{'loss': -2.6049, 'learning_rate': 5.08411214953271e-05, 'epoch': 25.42}
{'loss': -2.6106, 'learning_rate': 5.121495327102804e-05, 'epoch': 25.61}
{'loss': -2.6155, 'learning_rate': 5.1588785046728973e-05, 'epoch': 25.79}
{'loss': -2.6207, 'learning_rate': 5.196261682242991e-05, 'epoch': 25.98}
{'loss': -2.6288, 'learning_rate': 5.233644859813084e-05, 'epoch': 26.17}
{'loss': -2.6347, 'learning_rate': 5.271028037383178e-05, 'epoch': 26.36}
{'loss': -2.6417, 'learning_rate': 5.308411214953272e-05, 'epoch': 26.54}
{'loss': -2.645, 'learning_rate': 5.3457943925233644e-05, 'epoch': 26.73}
{'loss': -2.6554, 'learning_rate': 5.3831775700934584e-05, 'epoch': 26.92}
{'loss': -2.6609, 'learning_rate': 5.420560747663551e-05, 'epoch': 27.1}
{'loss': -2.6652, 'learning_rate': 5.457943925233645e-05, 'epoch': 27.29}
{'loss': -2.672, 'learning_rate': 5.495327102803739e-05, 'epoch': 27.48}
{'loss': -2.678, 'learning_rate': 5.5327102803738315e-05, 'epoch': 27.66}
{'loss': -2.6828, 'learning_rate': 5.5700934579439254e-05, 'epoch': 27.85}
{'loss': -2.6912, 'learning_rate': 5.607476635514019e-05, 'epoch': 28.04}
{'loss': -2.6971, 'learning_rate': 5.644859813084113e-05, 'epoch': 28.22}
{'loss': -2.7027, 'learning_rate': 5.6822429906542066e-05, 'epoch': 28.41}
{'loss': -2.707, 'learning_rate': 5.719626168224299e-05, 'epoch': 28.6}
{'loss': -2.7158, 'learning_rate': 5.757009345794393e-05, 'epoch': 28.79}
{'loss': -2.7196, 'learning_rate': 5.794392523364486e-05, 'epoch': 28.97}
{'loss': -2.7253, 'learning_rate': 5.83177570093458e-05, 'epoch': 29.16}
{'loss': -2.7242, 'learning_rate': 5.869158878504674e-05, 'epoch': 29.35}
{'loss': -2.7351, 'learning_rate': 5.906542056074766e-05, 'epoch': 29.53}
{'loss': -2.7316, 'learning_rate': 5.94392523364486e-05, 'epoch': 29.72}
{'loss': -2.736, 'learning_rate': 5.981308411214953e-05, 'epoch': 29.91}
{'loss': -2.7391, 'learning_rate': 6.018691588785047e-05, 'epoch': 30.09}
{'loss': -2.7519, 'learning_rate': 6.056074766355141e-05, 'epoch': 30.28}
{'loss': -2.7559, 'learning_rate': 6.093457943925234e-05, 'epoch': 30.47}
{'loss': -2.7634, 'learning_rate': 6.130841121495327e-05, 'epoch': 30.65}
{'loss': -2.7668, 'learning_rate': 6.16822429906542e-05, 'epoch': 30.84}
{'loss': -2.7719, 'learning_rate': 6.205607476635514e-05, 'epoch': 31.03}
